# sersic	color	mor
# mor 0=elliptical	1=spiral	-1=irregular
1.346875000000000044e+00 2.693313598632812500e+00 0.000000000000000000e+00
2.614374999999999893e+00 2.866813659667968750e+00 1.000000000000000000e+00
2.516875000000000195e+00 3.215709686279296875e+00 1.000000000000000000e+00
2.516875000000000195e+00 2.880401611328125000e+00 1.000000000000000000e+00
3.491874999999999840e+00 3.038213729858398438e+00 1.000000000000000000e+00
2.858124999999999805e+00 2.596019744873046875e+00 1.000000000000000000e+00
1.249374999999999902e+00 2.902521133422851562e+00 0.000000000000000000e+00
1.054375000000000062e+00 3.102653503417968750e+00 0.000000000000000000e+00
6.643750000000000488e-01 2.697742462158203125e+00 0.000000000000000000e+00
1.493125000000000036e+00 3.215299606323242188e+00 0.000000000000000000e+00
1.298124999999999973e+00 3.111766815185546875e+00 0.000000000000000000e+00
1.249374999999999902e+00 3.195751190185546875e+00 0.000000000000000000e+00
1.249374999999999902e+00 2.715021133422851562e+00 0.000000000000000000e+00
9.568750000000000311e-01 2.614641189575195312e+00 0.000000000000000000e+00
9.081249999999999600e-01 2.870269775390625000e+00 0.000000000000000000e+00
8.106250000000000400e-01 2.905431747436523438e+00 0.000000000000000000e+00
2.516875000000000195e+00 2.902767181396484375e+00 1.000000000000000000e+00
7.131250000000000089e-01 2.768074035644531250e+00 0.000000000000000000e+00
1.249374999999999902e+00 3.297443389892578125e+00 0.000000000000000000e+00
1.249374999999999902e+00 2.650571823120117188e+00 0.000000000000000000e+00
1.931875000000000009e+00 2.831039428710937500e+00 1.000000000000000000e+00
1.005624999999999991e+00 2.647750854492187500e+00 0.000000000000000000e+00
1.444374999999999964e+00 3.318788528442382812e+00 0.000000000000000000e+00
1.005624999999999991e+00 2.325668334960937500e+00 0.000000000000000000e+00
1.346875000000000044e+00 2.958753585815429688e+00 0.000000000000000000e+00
9.568750000000000311e-01 3.173852920532226562e+00 0.000000000000000000e+00
7.618749999999999689e-01 2.446086883544921875e+00 0.000000000000000000e+00
1.054375000000000062e+00 2.146120071411132812e+00 0.000000000000000000e+00
1.249374999999999902e+00 3.201620101928710938e+00 0.000000000000000000e+00
1.883124999999999938e+00 3.235340118408203125e+00 1.000000000000000000e+00
1.590624999999999956e+00 3.149219512939453125e+00 0.000000000000000000e+00
9.568750000000000311e-01 3.204322814941406250e+00 0.000000000000000000e+00
1.883124999999999938e+00 2.837882995605468750e+00 1.000000000000000000e+00
1.005624999999999991e+00 2.971153259277343750e+00 0.000000000000000000e+00
9.568750000000000311e-01 2.548074722290039062e+00 0.000000000000000000e+00
1.298124999999999973e+00 3.088827133178710938e+00 0.000000000000000000e+00
1.346875000000000044e+00 3.218847274780273438e+00 0.000000000000000000e+00
1.346875000000000044e+00 3.215167999267578125e+00 0.000000000000000000e+00
1.736874999999999947e+00 3.286144256591796875e+00 1.000000000000000000e+00
1.590624999999999956e+00 2.801769256591796875e+00 0.000000000000000000e+00
